id,is_leaf,local_display_name,parent_id
600204,True,Tablecloths & Runners,809992
600221,True,"Carpets, Mats & Rugs",809992
600251,True,Sewing Craft Kits,811016
600252,True,Sewing Tool Kits,811016
600299,True,Statues & Figurines,852104
600321,True,Clocks,852104
600338,True,Decorative Stickers,852104
600341,True,Photo Frames,852104
600347,True,Hooks & Shelves,852104
600378,True,Dusters/Duster Heads,852232
600396,True,Cleaning Gloves,852232
600401,True,Trash Bags,852232
600403,True,Bins,852232
600405,True,Toilet Brush & Plungers,851976
600406,True,Toilet Seat Covers,851976
600409,True,Cleaning Cloths,852232
600416,True,Soap Dispensers,851976
600417,True,Brooms,852232
600418,True,Squeegees,852232
600423,True,Mops,852232
600427,True,Aprons,852232
600430,True,Bathroom Tumblers,851976
600436,True,Toothbrush Holders,851976
600439,True,Shower Curtains & Rods,851976
600447,True,Soap Dishes,851976
600451,True,Wash Tubs & Foot Baths,851976
600458,True,"Moth, Mold & Damp Proofing",852232
600466,True,Pest & Weed Control,852232
600475,True,Formaldehyde Removers,852232
600477,True,Home Fragrances,852232
600569,True,Rain Cloths,852616
600570,True,Umbrellas,852616
600573,True,Raincoats,852616
600574,True,Rain Shoes & Covers,852616
600621,True,Storage Boxes & Bins,851848
600686,True,Storage Baskets,851848
600747,True,Washing Bags,852360
600748,True,Hangers & Pegs,851848
600750,True,Washing Lines,852360
600756,True,Ironing Boards,852360
600758,True,Drying Racks,852360
600812,True,Household Cleaners,852232
600839,True,Toilet Paper & Wipes,852232
600852,True,Television,845064
601090,True,Air Purifiers,844808
601092,True,Humidifiers,844808
601095,True,Heaters,844808
601100,True,Irons,844808
601102,True,Vacuum Cleaners & Sweeping Robots,844808
601104,True,Fans,844808
601106,True,Household Appliance Parts,844808
601107,True,Clothes Steamers,844808
601108,True,Dehumidifiers,844808
601116,True,Electric Window Cleaners,844808
601194,True,Waistcoats & Gilets,839944
601195,True,Shirts,839944
601196,True,Shorts,840072
601197,True,Jackets & Coats,839944
601202,True,Jeans,840072
601210,True,Sets,840712
601213,True,Hoodies & Sweaters,839944
601216,True,Suits,840712
601218,True,Trousers,840072
601223,True,Knitwear,839944
601226,True,T-shirts,839944
601247,True,Panties,842888
601259,True,Shapewear,842888
601262,True,Bras,842888
601264,True,Skirts,842376
601265,True,Blouses & Shirts,842248
601266,True,Shorts,842376
601267,True,Jackets & Coats,842248
601270,True,Wedding Dresses,842504
601271,True,Formal Dresses,842504
601274,True,Leggings,842376
601276,True,Jeans,842376
601277,True,Trousers,842376
601280,True,Overalls,842760
601281,True,Casual Dresses,842504
601282,True,Vests,842248
601284,True,Knitwear,842248
601291,True,Sets,842760
601295,True,Hoodies & Sweaters,842248
601296,True,Suits,842760
601302,True,T-shirts,842248
601305,True,Underscarves,601304
601306,True,Instant Hijab,601304
601307,True,Square Hijabs,601304
601308,True,Pashmina Scarves,601304
601309,True,Khimars,601304
601313,True,Tunics,601310
601314,True,Shirts & Blouses,601310
601316,True,Skirts,601310
601317,True,Culottes & Palazzo Pants,601310
601319,True,Leggings,601310
601322,True,Kaftans,601310
601323,True,Abayas,601310
601324,True,Jumpsuits,601310
601326,True,Koko & Tops,601325
601327,True,Robes,601325
601329,True,Trousers,601325
601330,True,Sarongs,601348
601332,True,Waistcoats,601331
601333,True,Cardigans,601331
601334,True,Jackets,601331
601335,True,Coats,601331
601340,True,Kids' Hijabs,601339
601341,True,Girls' Islamic Clothing,601339
601342,True,Boys' Islamic Clothing,601339
601344,True,Hijab Pins,601343
601345,True,Handsocks,601343
601346,True,Socks,601343
601347,True,Islamic Swimwear,838920
601349,True,Peci,601348
601350,True,Prayer Sets,601348
601351,True,Prayer Mats,601348
601357,True,Casual Trainers,900616
601364,True,Sandals & Flip Flops,900616
601366,True,Insoles & Heel Liners,900744
601369,True,Oxfords,900616
601374,True,Slippers,900616
601376,True,Boots,900616
601387,True,Oxfords,900488
601396,True,Heels,900488
601405,True,Slippers,900488
601409,True,Boots,900488
601417,True,Laptop Bags,902792
601419,True,Travel Bags,902664
601429,True,Crossbody & Shoulder Bags,902536
601430,True,Wallets,902536
601431,True,Clutches,902536
601439,True,Crossbody & Shoulder Bags,902408
601440,True,Make-up Bags,902792
601441,True,Wallets,902408
601444,True,Clutches & Wristlets,902408
601445,True,Handbags,902408
601446,True,Backpacks,902792
601449,True,Luggage Accessories,902664
601454,True,Hand & Foot Masks,849032
601456,True,Foot Odor Control,849032
601469,True,Shampoo & Conditioner,848904
601476,True,Feminine Hygiene,849800
601477,True,Sanitary Towels,849800
601480,True,"Hand Lotions, Creams & Scrubs",849032
601490,True,Body Care Kits,849160
601492,True,Body Creams & Lotions,849160
601493,True,Body Wash & Soap,849160
601494,True,Talcum Powder,849160
601495,True,"Hair Removal Cream, Wax & Shave",849160
601498,True,Deodorants & Antiperspirants,849160
601506,True,Body Scrubs & Peels,849160
601508,True,Hand Wash,849032
601511,True,Breast Care,849160
601513,True,Mousse & Gel,848904
601516,True,Hair Dye,848904
601520,True,Bath & Body Care,849288
601529,True,Makeup Sets,848648
601534,True,Lipstick & Lip Gloss,848648
601537,True,Makeup Tools,848648
601550,True,Blemish Balm and Color Control,848648
601552,True,Makeup Fixing Spray,848648
601554,True,Concealer & Foundation,848648
601555,True,Bronzer & Highlighter,848648
601556,True,Makeup Base and Primers,848648
601558,True,Powder,848648
601560,True,Blush,848648
601565,True,Makeup,849288
601582,True,Body Makeup,848648
601585,True,Mascara,848648
601586,True,Eyebrow Pencils/Powder/Paste,848648
601587,True,Eyeliner & Lipliner,848648
601588,True,Eyeshadow,848648
601591,True,Nail Art & Nail Polish,849032
601595,True,Lip Treatments,848776
601602,True,Facial Sunscreen & Sun Care,848776
601608,True,Toners,848776
601609,True,Facial Cleansers,848776
601610,True,Facial Massage Cream,848776
601611,True,Skin Care Kits,848776
601613,True,Face Scrubs & Peels,848776
601615,True,Moisturizers & Mists,848776
601616,True,Face Masks,848776
601618,True,Makeup Remover,848648
601619,True,Serums & Essences,848776
601627,True,Skincare,849288
601644,True,Shaving Foam & Aftershave,849288
601646,True,Eye Treatments,848776
601653,True,Nasal Treatment,848776
601660,True,Massage Devices,849416
601664,True,Body Beauty Devices,849416
601669,True,Electric Eyebrow Shapers,849416
601672,True,Facial Beauty Devices,849416
601677,True,Accessories,849416
601681,True,Hair Care,849288
601690,True,Teeth Whitening,849672
601692,True,Oral Care Kits,849672
601693,True,Oral Spray,849672
601694,True,Mouthwash,849672
601696,True,Toothpastes,849672
601697,True,Toothbrushes,849672
601698,True,Dental Floss & Picks,849672
601733,True,Skincare Tools,848776
601737,True,Sleep Masks,849544
601756,True,Laptops,824840
601760,True,Keyboards & Mouse,826760
601783,True,Monitors,825352
601836,True,Desktop Computers,824840
601893,True,Camera Accessories,909192
601925,True,"Cases, Screen Protectors & Stickers",909064
601927,True,Phone Batteries,909064
601936,True,Phone Straps & Charms,909064
601937,True,"Cables, Chargers & Adapters",909064
601990,True,Earphones & Headphones,909320
602029,True,Speakers,909320
602080,True,Wearable Accessories,909576
602083,True,Smart Watches,909576
602097,True,Mobile Phones,995976
602296,True,Baby Skincare,879112
602301,True,Baby Costume Jewelry,961928
602317,True,Hair Care & Body Wash,879112
602532,True,Safety Locks & Straps,878600
602533,True,Electric Shock Protection,878600
602534,True,Edge & Corner Guards,878600
602536,True,Bed Rails & Guards,878600
602538,True,Monitors,878600
602608,True,Baby Hair Trimmers,879112
602622,True,Baby Hair Dryers,879112
602672,True,Baby Hand Sanitizer,879112
602673,True,Laundry Detergent,879112
602676,True,Nasal & Oral Care,879112
602678,True,Baby Clothes Sterilizers,879112
602707,True,Food Processors,877832
602734,True,Mattresses & Bedding,878216
602760,True,"Bouncers, Jumpers & Swings",878216
602761,True,Cribs & Beds,878216
602787,True,Shoes,877320
603002,True,Writing & Correction Tools,831112
603041,True,Football,834952
603042,True,Jerseys,834568
603065,True,Badminton,834952
603084,True,Yoga & Pilates,835592
603131,True,Surfing,835080
603171,True,Dance Shoes,834696
603221,True,Tennis,834952
603247,True,Track & Field,835592
603288,True,Boxing & Martial Arts,835592
603295,True,Judo,835592
603301,True,Wrestling,835592
603304,True,Nunchucks,835592
603317,True,Taekwondo,835592
603331,True,Billiards & Snooker,834952
603353,True,Hula Hoops,835336
603355,True,Ab Training,835336
603358,True,Gym Balls,835336
603366,True,Pedometers,834824
603375,True,Skipping Ropes,835336
603389,True,Archery,835592
603396,True,Table Tennis,834952
603437,True,Volleyball,834952
603477,True,Horse Riding,835592
603493,True,Skateboarding,835592
603524,True,Basketball,834952
603573,True,Golf,834952
603579,True,Golf Shoes,834696
603605,True,Darts,835592
603625,True,Ice Hockey,835208
603641,True,Squash,834952
603646,True,Bowling,834952
603652,True,Baseballs,834952
603654,True,Sports & Outdoor Hats,834824
603682,True,Sports Bags,834824
603704,True,Joggers,834568
603705,True,Tracksuits,834568
603706,True,Sports Outerwear & Hoodies,834568
603729,True,Sports Bras,834568
603744,True,Baseball Shoes,834696
603748,True,Basketball Shoes,834696
603750,True,Volleyball Shoes,834696
